n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m
656,Whyalla,Australia,Oceania,Whyalla CBD,-33.0333,137.5833,22.0,49.0,,
657,Port Augusta,Australia,Oceania,Port Augusta CBD,-32.4925,137.7658,14.0,41.0,,
658,Port Lincoln,Australia,Oceania,Port Lincoln CBD,-34.72,135.858,6.0,33.0,,
659,Murray Bridge,Australia,Oceania,Murray Bridge CBD,-35.1199,139.2735,35.0,62.0,,
660,Victor Harbor,Australia,Oceania,Victor Harbor CBD,-35.5503,138.6209,9.0,36.0,,
661,Alice Springs,Australia,Oceania,Alice Springs CBD,-23.698,133.8807,582.0,609.0,,
662,Palmerston,Australia,Oceania,Palmerston Centre,-12.486,130.9833,34.0,61.0,,
663,Katherine,Australia,Oceania,Katherine Centre,-14.4652,132.2635,109.0,136.0,,
664,Devonport,Australia,Oceania,Devonport CBD,-41.1769,146.3515,28.0,55.0,,
665,Burnie,Australia,Oceania,Burnie CBD,-41.0529,145.9064,19.0,46.0,,
666,Ulverstone,Australia,Oceania,Ulverstone Centre,-41.1603,146.17,15.0,42.0,,
667,Kingston,Australia,Oceania,Kingston TAS Centre,-42.9765,147.3087,27.0,54.0,,
668,Glenorchy,Australia,Oceania,Glenorchy Centre,-42.833,147.275,21.0,48.0,,
669,Sorell,Australia,Oceania,Sorell Centre,-42.7818,147.5627,17.0,44.0,,
670,Karratha,Australia,Oceania,Karratha City Centre,-20.7367,116.8463,18.0,45.0,,
671,Geraldton,Australia,Oceania,Geraldton CBD,-28.7774,114.6149,14.0,41.0,,
672,Albany,Australia,Oceania,Albany CBD,-35.0269,117.8837,13.0,40.0,,
673,Kalgoorlie,Australia,Oceania,Kalgoorlie CBD,-30.7489,121.4658,376.0,403.0,,
674,Esperance,Australia,Oceania,Esperance CBD,-33.8613,121.8914,10.0,37.0,,
675,Broome,Australia,Oceania,Broome Centre,-17.9614,122.2359,22.0,49.0,,
676,Mandurah,Australia,Oceania,Mandurah CBD,-32.5269,115.7217,5.0,32.0,,
677,Joondalup,Australia,Oceania,Joondalup City Centre,-31.745,115.766,50.0,77.0,,
678,Rockingham,Australia,Oceania,Rockingham Centre,-32.2768,115.7298,8.0,35.0,,
679,Fremantle,Australia,Oceania,Fremantle CBD,-32.0569,115.7439,8.0,35.0,,
680,Armadale,Australia,Oceania,Armadale Centre,-32.151,116.015,66.0,93.0,,
681,Busselton,Australia,Oceania,Busselton CBD,-33.652,115.3455,8.0,35.0,,
682,Margaret River,Australia,Oceania,Margaret River,-33.953,115.0739,95.0,122.0,,
683,Northam,Australia,Oceania,Northam Centre,-31.654,116.6702,159.0,186.0,,
684,Port Hedland,Australia,Oceania,Port Hedland Centre,-20.3107,118.606,10.0,37.0,,
685,Newman,Australia,Oceania,Newman Centre,-23.3564,119.731,547.0,574.0,,
686,Lower Hutt,New Zealand,Oceania,Lower Hutt CBD,-41.2127,174.8997,7.0,34.0,,
687,Upper Hutt,New Zealand,Oceania,Upper Hutt CBD,-41.1244,175.0708,69.0,96.0,,
688,Porirua,New Zealand,Oceania,Porirua City Centre,-41.1338,174.8407,6.0,33.0,,
689,New Plymouth,New Zealand,Oceania,New Plymouth CBD,-39.0556,174.0752,17.0,44.0,,
690,Whangārei,New Zealand,Oceania,Whangārei CBD,-35.7251,174.3237,7.0,34.0,,
691,Invercargill,New Zealand,Oceania,Invercargill CBD,-46.4132,168.3538,8.0,35.0,,
692,Hastings,New Zealand,Oceania,Hastings CBD,-39.6381,176.8492,21.0,48.0,,
693,Gisborne,New Zealand,Oceania,Gisborne CBD,-38.6623,178.0176,10.0,37.0,,
694,Blenheim,New Zealand,Oceania,Blenheim CBD,-41.5134,173.9612,6.0,33.0,,
695,Timaru,New Zealand,Oceania,Timaru CBD,-44.3967,171.2536,13.0,40.0,,
696,Queenstown,New Zealand,Oceania,Queenstown Centre,-45.0312,168.6626,324.0,351.0,,
697,Ashburton,New Zealand,Oceania,Ashburton CBD,-43.9036,171.7481,103.0,130.0,,
698,Whanganui,New Zealand,Oceania,Whanganui CBD,-39.9333,175.05,18.0,45.0,,
699,Taupō,New Zealand,Oceania,Taupō Town Centre,-38.6857,176.0702,379.0,406.0,,
700,Masterton,New Zealand,Oceania,Masterton CBD,-40.9511,175.6574,107.0,134.0,,
